fips,county_name,state,lat,lon,pop,median_income,rucc
01001,Autauga County,AL,32.532237,-86.64644,58761,68315.0,2.0
01003,Baldwin County,AL,30.659218,-87.746067,233420,71039.0,3.0
01005,Barbour County,AL,31.870069,-85.400142,24877,39712.0,6.0
01007,Bibb County,AL,33.015893,-87.127148,22251,50669.0,1.0
01009,Blount County,AL,33.977358,-86.56644,59077,57440.0,1.0
01011,Bullock County,AL,32.101759,-85.717261,10328,36136.0,8.0
01013,Butler County,AL,31.751667,-86.681969,18981,44429.0,6.0
01015,Calhoun County,AL,33.765535,-85.824265,116162,54339.0,3.0
01017,Chambers County,AL,32.91539,-85.393947,34612,48805.0,6.0
01019,Cherokee County,AL,34.305264,-85.554226,25069,46621.0,8.0
01021,Chilton County,AL,32.854051,-86.726607,45140,62471.0,1.0
01023,Choctaw County,AL,31.981017,-88.24299,12669,43299.0,9.0
01025,Clarke County,AL,31.685521,-87.818624,23058,47549.0,9.0
01027,Clay County,AL,33.2704,-85.863525,14209,48074.0,9.0
01029,Cleburne County,AL,33.671949,-85.516121,15144,51553.0,8.0
01031,Coffee County,AL,31.402258,-85.989602,53559,62199.0,4.0
01033,Colbert County,AL,34.703112,-87.801457,57270,56149.0,3.0
01035,Conecuh County,AL,31.430278,-86.98587,11576,39888.0,9.0
01037,Coosa County,AL,32.931445,-86.243482,10329,52279.0,8.0
01039,Covington County,AL,31.243987,-86.448721,37542,48772.0,6.0
01041,Crenshaw County,AL,31.730305,-86.320022,13205,48557.0,8.0
01043,Cullman County,AL,34.131923,-86.869267,88284,58119.0,4.0
01045,Dale County,AL,31.430654,-85.609476,49455,52813.0,4.0
01047,Dallas County,AL,32.333526,-87.11436,38326,37180.0,4.0
01049,DeKalb County,AL,34.460915,-85.804021,71680,47920.0,6.0
01051,Elmore County,AL,32.597229,-86.142735,87694,73258.0,2.0
01053,Escambia County,AL,31.122287,-87.16841,36755,41153.0,6.0
01055,Etowah County,AL,34.04824,-86.033747,103348,52177.0,3.0
01057,Fayette County,AL,33.716157,-87.764292,16297,45650.0,8.0
01059,Franklin County,AL,34.441989,-87.842814,32011,47359.0,6.0
01061,Geneva County,AL,31.092382,-85.821022,26647,47608.0,3.0
01063,Greene County,AL,32.844497,-87.9642,7706,32796.0,2.0
01065,Hale County,AL,32.752796,-87.623061,14742,35851.0,2.0
01067,Henry County,AL,31.516978,-85.239971,17282,58395.0,3.0
01069,Houston County,AL,31.158183,-85.296411,107040,55064.0,3.0
01071,Jackson County,AL,34.764114,-85.980056,52618,46748.0,6.0
01073,Jefferson County,AL,33.553444,-86.896536,672265,63595.0,1.0
01075,Lamar County,AL,33.787085,-88.087431,13885,49565.0,8.0
01077,Lauderdale County,AL,34.904168,-87.651108,94329,56081.0,3.0
01079,Lawrence County,AL,34.529776,-87.321865,33116,54786.0,3.0
01081,Lee County,AL,32.603682,-85.353163,175126,59288.0,3.0
01083,Limestone County,AL,34.810239,-86.981399,104199,80146.0,2.0
01085,Lowndes County,AL,32.147888,-86.650586,10153,33125.0,2.0
01087,Macon County,AL,32.387027,-85.692887,19198,41206.0,3.0
01089,Madison County,AL,34.76472,-86.552086,389781,78058.0,2.0
01091,Marengo County,AL,32.259474,-87.790823,19180,42975.0,6.0
01093,Marion County,AL,34.137695,-87.879122,29203,49743.0,9.0
01095,Marshall County,AL,34.309564,-86.321668,97923,58272.0,4.0
01097,Mobile County,AL,30.684572,-88.196568,413878,55352.0,2.0
01099,Monroe County,AL,31.580153,-87.382941,19816,39965.0,8.0
01101,Montgomery County,AL,32.202881,-86.204461,228132,56707.0,2.0
01103,Morgan County,AL,34.454484,-86.846402,123102,61588.0,3.0
01105,Perry County,AL,32.639005,-87.293827,8479,32332.0,8.0
01107,Pickens County,AL,33.2968,-88.096864,18925,45339.0,2.0
01109,Pike County,AL,31.798653,-85.941608,32997,42616.0,6.0
01111,Randolph County,AL,33.296461,-85.464064,22179,49879.0,8.0
01113,Russell County,AL,32.289811,-85.18698,58849,47420.0,2.0
01115,St. Clair County,AL,33.719491,-86.311327,91719,73218.0,1.0
01117,Shelby County,AL,33.266893,-86.661007,223916,90618.0,1.0
01119,Sumter County,AL,32.597481,-88.200057,12196,31726.0,8.0
01121,Talladega County,AL,33.369334,-86.175901,81105,52457.0,4.0
01123,Tallapoosa County,AL,32.863294,-85.799559,41251,53282.0,6.0
01125,Tuscaloosa County,AL,33.290189,-87.523952,231558,61645.0,2.0
01127,Walker County,AL,33.791558,-87.301094,64978,52987.0,1.0
01129,Washington County,AL,31.408503,-88.212404,15434,51184.0,8.0
01131,Wilcox County,AL,31.990082,-87.304935,10441,38208.0,9.0
01133,Winston County,AL,34.154563,-87.365351,23655,49494.0,8.0
02013,Aleutians East Borough,AK,55.245044,-161.997477,3407,79961.0,9.0
02016,Aleutians West Census Area,AK,51.948964,179.621188,5219,100662.0,9.0
02020,Anchorage Municipality,AK,61.17425,-149.284329,290674,95731.0,2.0
02050,Bethel Census Area,AK,60.929141,-160.152625,18538,64094.0,7.0
02060,Bristol Bay Borough,AK,58.730546,-156.994473,854,94167.0,9.0
02063,Chugach Census Area,AK,60.488474,-146.20309,7000,83068.0,9.0
02066,Copper River Census Area,AK,62.034479,-143.922167,2614,70606.0,9.0
02068,Denali Borough,AK,63.682039,-150.027016,2101,87292.0,9.0
02070,Dillingham Census Area,AK,59.540125,-158.272924,4854,69412.0,9.0
02090,Fairbanks North Star Borough,AK,64.670454,-146.496061,96299,81655.0,3.0
02100,Haines Borough,AK,59.098404,-135.575791,2079,68276.0,9.0
02105,Hoonah-Angoon Census Area,AK,58.404665,-135.884508,2329,62344.0,9.0
02110,Juneau City and Borough,AK,58.372904,-134.178438,32108,95711.0,5.0
02122,Kenai Peninsula Borough,AK,60.366668,-152.322283,59235,76272.0,7.0
02130,Ketchikan Gateway Borough,AK,55.348947,-131.127192,13910,82763.0,7.0
02150,Kodiak Island Borough,AK,57.704426,-153.918395,13065,91138.0,7.0
02158,Kusilvak Census Area,AK,62.283477,-163.190257,8372,42663.0,9.0
02164,Lake and Peninsula Borough,AK,58.100846,-156.354125,999,61607.0,9.0
02170,Matanuska-Susitna Borough,AK,62.265626,-149.503993,108661,86435.0,2.0
02180,Nome Census Area,AK,64.783686,-164.188912,10018,70121.0,9.0
02185,North Slope Borough,AK,69.449343,-153.47283,10924,83472.0,9.0
02188,Northwest Arctic Borough,AK,67.004772,-160.022075,7682,77647.0,9.0
02195,Petersburg Borough,AK,57.245959,-132.788762,3374,77826.0,9.0
02198,Prince of Wales-Hyder Census Area,AK,55.682773,-133.162389,5799,61779.0,9.0
02220,Sitka City and Borough,AK,57.193204,-135.367396,8462,95261.0,7.0
02230,Skagway Municipality,AK,59.649488,-135.254605,1303,79583.0,9.0
02240,Southeast Fairbanks Census Area,AK,63.864997,-143.218628,6888,75378.0,9.0
02275,Wrangell City and Borough,AK,56.180779,-132.026788,2134,61000.0,9.0
02282,Yakutat City and Borough,AK,60.017508,-140.416847,564,76875.0,9.0
02290,Yukon-Koyukuk Census Area,AK,65.385921,-151.705183,5355,47826.0,8.0
04001,Apache County,AZ,35.385084,-109.490172,66054,37483.0,8.0
04003,Cochise County,AZ,31.841872,-109.775968,125504,58421.0,3.0
04005,Coconino County,AZ,35.829692,-111.773728,144705,67266.0,3.0
04007,Gila County,AZ,33.789618,-110.81187,53419,55242.0,4.0
04009,Graham County,AZ,32.931828,-109.87831,38453,64089.0,7.0
04011,Greenlee County,AZ,33.238872,-109.242323,9483,73756.0,9.0
04012,La Paz County,AZ,33.72761,-114.038806,16681,46634.0,6.0
04013,Maricopa County,AZ,33.345176,-112.49893,4430871,80675.0,1.0
04015,Mohave County,AZ,35.717705,-113.749689,214229,53592.0,3.0
04017,Navajo County,AZ,35.390785,-110.321025,107110,50335.0,4.0
04019,Pima County,AZ,32.128038,-111.783657,1042393,64323.0,1.0
04021,Pinal County,AZ,32.918524,-111.366299,433338,73313.0,1.0
04023,Santa Cruz County,AZ,31.525733,-110.845228,47838,51885.0,6.0
04025,Yavapai County,AZ,34.653539,-112.583254,237830,62430.0,3.0
04027,Yuma County,AZ,32.773942,-113.910905,204374,56439.0,3.0
05001,Arkansas County,AR,34.28957,-91.376547,17024,58695.0,6.0
