fips,county_name,state,lat,lon,pop,median_income,rucc,dist_public_mi,fp_share,n_institutions,n_forprofit
1001,Autauga County,AL,32.532237,-86.64644,58761,68315.0,2.0,15.19527384699388,0.052114683985426895,10,2
1003,Baldwin County,AL,30.659218,-87.746067,233420,71039.0,3.0,13.411055773564934,0.02423074973386729,11,3
1005,Barbour County,AL,31.870069,-85.400142,24877,39712.0,6.0,33.10779534393928,,0,0
1007,Bibb County,AL,33.015893,-87.127148,22251,50669.0,1.0,26.167419197525067,0.0023201271026151867,7,2
1009,Blount County,AL,33.977358,-86.56644,59077,57440.0,1.0,13.980026737696614,0.007104639943864574,4,1
1011,Bullock County,AL,32.101759,-85.717261,10328,36136.0,8.0,25.202061303245724,0.0,2,0
1013,Butler County,AL,31.751667,-86.681969,18981,44429.0,6.0,26.122361376303093,0.0,1,0
1015,Calhoun County,AL,33.765535,-85.824265,116162,54339.0,3.0,18.47009513303966,0.0,3,0
1017,Chambers County,AL,32.91539,-85.393947,34612,48805.0,6.0,18.007030015316072,0.0,4,0
1019,Cherokee County,AL,34.305264,-85.554226,25069,46621.0,8.0,21.91328998938559,0.0,5,0
1021,Chilton County,AL,32.854051,-86.726607,45140,62471.0,1.0,27.01918203520182,0.0,2,0
1023,Choctaw County,AL,31.981017,-88.24299,12669,43299.0,9.0,39.15614959135752,,0,0
1025,Clarke County,AL,31.685521,-87.818624,23058,47549.0,9.0,52.61612504783767,1.0,1,1
1027,Clay County,AL,33.2704,-85.863525,14209,48074.0,9.0,19.46995308746345,0.0,3,0
1029,Cleburne County,AL,33.671949,-85.516121,15144,51553.0,8.0,19.163029952086738,0.0,3,0
1031,Coffee County,AL,31.402258,-85.989602,53559,62199.0,4.0,11.555243159058657,0.0,3,0
1033,Colbert County,AL,34.703112,-87.801457,57270,56149.0,3.0,7.450342870654645,0.0,3,0
1035,Conecuh County,AL,31.430278,-86.98587,11576,39888.0,9.0,2.415760821842915,0.0,1,0
1037,Coosa County,AL,32.931445,-86.243482,10329,52279.0,8.0,17.300968111585718,0.0,2,0
1039,Covington County,AL,31.243987,-86.448721,37542,48772.0,6.0,5.4596749562559985,0.0,1,0
1041,Crenshaw County,AL,31.730305,-86.320022,13205,48557.0,8.0,21.79779685936772,0.0,2,0
1043,Cullman County,AL,34.131923,-86.869267,88284,58119.0,4.0,6.4696955493834905,0.0,1,0
1045,Dale County,AL,31.430654,-85.609476,49455,52813.0,4.0,11.634292168483125,0.037037037037037035,4,1
1047,Dallas County,AL,32.333526,-87.11436,38326,37180.0,4.0,9.750614730867824,0.0,3,0
1049,DeKalb County,AL,34.460915,-85.804021,71680,47920.0,6.0,8.467572269427441,0.025820847943895442,3,1
1051,Elmore County,AL,32.597229,-86.142735,87694,73258.0,2.0,14.568975675354809,0.04225533007963011,10,2
1053,Escambia County,AL,31.122287,-87.16841,36755,41153.0,6.0,26.265136944246102,0.0,1,0
1055,Etowah County,AL,34.04824,-86.033747,103348,52177.0,3.0,4.46262558477359,0.006698643731392656,4,1
1057,Fayette County,AL,33.716157,-87.764292,16297,45650.0,8.0,29.85292355053195,0.0,1,0
1059,Franklin County,AL,34.441989,-87.842814,32011,47359.0,6.0,22.608990886831954,0.0,2,0
1061,Geneva County,AL,31.092382,-85.821022,26647,47608.0,3.0,14.203422149171315,0.0334214501510574,6,1
1063,Greene County,AL,32.844497,-87.9642,7706,32796.0,2.0,30.14229423112247,0.0,1,0
1065,Hale County,AL,32.752796,-87.623061,14742,35851.0,2.0,19.645156237328266,0.0,2,0
1067,Henry County,AL,31.516978,-85.239971,17282,58395.0,3.0,19.27695033337249,0.0554164057608015,3,1
1069,Houston County,AL,31.158183,-85.296411,107040,55064.0,3.0,14.76466119211447,0.036374845869297165,5,1
1071,Jackson County,AL,34.764114,-85.980056,52618,46748.0,6.0,15.59902314966079,0.0,1,0
1073,Jefferson County,AL,33.553444,-86.896536,672265,63595.0,1.0,6.49770066535779,0.07015212914369229,13,5
1075,Lamar County,AL,33.787085,-88.087431,13885,49565.0,8.0,27.837476435169577,0.03776978417266187,2,1
1077,Lauderdale County,AL,34.904168,-87.651108,94329,56081.0,3.0,6.895409614532974,0.0160340724038582,4,1
1079,Lawrence County,AL,34.529776,-87.321865,33116,54786.0,3.0,22.639048198122424,0.0,5,0
1081,Lee County,AL,32.603682,-85.353163,175126,59288.0,3.0,22.48470306718256,0.008245222621010767,8,2
1083,Limestone County,AL,34.810239,-86.981399,104199,80146.0,2.0,0.9769186800051705,0.007255471017334693,11,2
1085,Lowndes County,AL,32.147888,-86.650586,10153,33125.0,2.0,22.763255118643787,0.08686468646864687,7,2
1087,Macon County,AL,32.387027,-85.692887,19198,41206.0,3.0,28.313698534869527,0.0,3,0
1089,Madison County,AL,34.76472,-86.552086,389781,78058.0,2.0,1.2793988771849714,0.010911319983653453,10,3
1091,Marengo County,AL,32.259474,-87.790823,19180,42975.0,6.0,37.15705894571003,,0,0
1093,Marion County,AL,34.137695,-87.879122,29203,49743.0,9.0,31.92846344253301,,0,0
1095,Marshall County,AL,34.309564,-86.321668,97923,58272.0,4.0,11.440262715339413,0.012116679132385939,4,1
1097,Mobile County,AL,30.684572,-88.196568,413878,55352.0,2.0,8.319216693187933,0.024939997912970885,10,3
1099,Monroe County,AL,31.580153,-87.382941,19816,39965.0,8.0,25.98424625164928,0.0,1,0
1101,Montgomery County,AL,32.202881,-86.204461,228132,56707.0,2.0,11.47277428955895,0.05605247465712582,8,2
1103,Morgan County,AL,34.454484,-86.846402,123102,61588.0,3.0,14.469148289126835,0.006421158585262573,10,2
1105,Perry County,AL,32.639005,-87.293827,8479,32332.0,8.0,1.9515513794923358,0.0,3,0
