USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
AL|01001|0500000US01001|00161526|Autauga County|1539631448|25677530|594.455|9.914|32.532237|-86.64644
AL|01003|0500000US01003|00161527|Baldwin County|4117932979|1132679263|1589.943|437.33|30.659218|-87.746067
AL|01005|0500000US01005|00161528|Barbour County|2292160151|50523210|885.008|19.507|31.870069|-85.400142
AL|01007|0500000US01007|00161529|Bibb County|1612188678|9572300|622.47|3.696|33.015893|-87.127148
AL|01009|0500000US01009|00161530|Blount County|1670296792|14822587|644.905|5.723|33.977358|-86.56644
AL|01011|0500000US01011|00161531|Bullock County|1613084323|6029813|622.815|2.328|32.101759|-85.717261
AL|01013|0500000US01013|00161532|Butler County|2012002539|2701200|776.839|1.043|31.751667|-86.681969
AL|01015|0500000US01015|00161533|Calhoun County|1569256890|16525537|605.893|6.381|33.765535|-85.824265
AL|01017|0500000US01017|00161534|Chambers County|1545081622|16975679|596.559|6.554|32.91539|-85.393947
AL|01019|0500000US01019|00161535|Cherokee County|1433855389|120076272|553.615|46.362|34.305264|-85.554226
AL|01021|0500000US01021|00161536|Chilton County|1794443227|20587723|692.838|7.949|32.854051|-86.726607
AL|01023|0500000US01023|00161537|Choctaw County|2365900071|19114318|913.479|7.38|31.981017|-88.24299
AL|01025|0500000US01025|00161538|Clarke County|3207494054|36657888|1238.42|14.154|31.685521|-87.818624
AL|01027|0500000US01027|00161539|Clay County|1564255421|5281612|603.962|2.039|33.2704|-85.863525
AL|01029|0500000US01029|00161540|Cleburne County|1450725398|2293267|560.128|0.885|33.671949|-85.516121
AL|01031|0500000US01031|00161541|Coffee County|1758772305|3700803|679.066|1.429|31.402258|-85.989602
AL|01033|0500000US01033|00161542|Colbert County|1535740653|79162007|592.953|30.565|34.703112|-87.801457
AL|01035|0500000US01035|00161543|Conecuh County|2202213372|6426488|850.279|2.481|31.430278|-86.98587
AL|01037|0500000US01037|00161544|Coosa County|1685846957|39991159|650.909|15.441|32.931445|-86.243482
AL|01039|0500000US01039|00161545|Covington County|2669171984|34188421|1030.573|13.2|31.243987|-86.448721
AL|01041|0500000US01041|00161546|Crenshaw County|1576952758|5388563|608.865|2.081|31.730305|-86.320022
AL|01043|0500000US01043|00161547|Cullman County|1902990879|52505020|734.749|20.272|34.131923|-86.869267
